,0
87,"안녕하세요, 여기에 남기면 개발자분이 보실 수 있지 않을까해서 글 남깁니다. 자막 기능을 만들어주시길 부탁드립니다.

티빙없이 못사는 사람인데요, 전 소리 없이 영상만 볼때가 많은데 이럴 경우 한국 드라마 및 예능은 영상만으로 이해하거나 시청하기 어려울때가 많더라구요.🥲

넷*릭스 혹은 다른 플랫폼의 경우 어떤 컨텐츠의 영상이든 자막 기능이 있어 아쉽지만 티빙보다 이런점은 더 편하다고 느낀적이 있습니다. 티빙의 ux/ui는 정말 좋다고 생각해요! 편하게 잘 사용하고 있습니다.

전 단순히 자의적, 선택적으로 소리 없이 보는 환경이지만 어쩔 수 없이 소리 없이 영상만 볼 수 밖에 없는 환경과 사람들도 많다고 생각해요. 더 많은 사람들이 편하고 동등하게 사용적 경험을 겪기 위해 자막 기능이 추가되면 좋을 것 같아 요청드립니다."
88,감사합니다!
89,빨리감기 개선이 필요합니다. 그 외 전반적으로 만족
90,"영화 볼 때 화면에 두가지 언어로 볼 수 있도록 설정할 수 있게 해주세요 예를 들면 한국어를 화면하단, 영어를 화면상단에 띄울 수 있게 말이예요^^"
91,아동용인데 한글자막 없음 / 번역계의 볼드모트 번역 들어와 있음(특히 어벤져스 시리즈) / 내셔널 지오그래픽 특정년도 이전꺼 없음
92,재미있는 디즈니을 볼수 있어서 너무좋아요
93,마블 디즈니 픽사 너무 좋아해서 결제했어요 근데 좀 불편한게 많네요 1.기기자체 설정(구글자막cc)를 통해서만 자막 변경이 된다는 점 2.팝업기능이 안된다는 점 3.재생중 시리즈 목록을 볼수 없다는점 4.밝기 조절이 앱 자체적으로 안된다는 점 5.웹에서 볼때 다음편 자동재생이 안된다는 점 (이건 고객센터에 문의해봤지만 별다른 피드백이 없어서 여기에도 적어봅니다) 앞으로 피드백 반영해서 편의성 개선 차차 해주시길 바래봅니다
94,실시간시청을 결제해야하는 신박한앱.보통 다른방송앱은 지난영상을 다시보기로 구매해야하는데 이건 그반대임(애니나 영화빼고). 근데 난 그다지 티비방송을 잘안보고 어쩌다 한번 보는데 그때마다 실시간으로 그프로그램을 돈주고 봐야하는 아주 그지같은 앱임.한마디로 그 프로그램 딱하나보려고 한달정기권을 구매해서 돈낭비를해야한다는거임.내가 여기에있는 모든채널을 다보고 영화에 애니까지 알뜰하게본다면 돈이아깝지 않겠지만 재미가없는걸 억지로볼수도없는노릇인데 왜 실시간영상을 정기권으로 구매해야하는지 모르겠음.
95,다른걸다 떠나서 팝업창 안되는게 제일불편 영상보면서 다른작업을 할수가없음 영상만 봐야함
96,볼거너무없음
97,"1. 자막 엉망. 미드를 보는데…같은사람 이름도 제멋대로 이랬다 저랬다.  극을 제대로 봤으면 동생인데 오빠랬다가… 멋대로라 집중안됨

2. 타 플랫폼처럼 배속기능 없음

3. 내가 못 찾는건지… 최근 본 작품만 따로 모아둔 메뉴가 없다.

4. 자막 위치가 아래였다 위였다 역시 이것도 제멋대로…

마블 / 디즈니를 좋아하던 유저로 컨텐츠가 좀 부족하긴해도 당장 불만이 크진 않은데… 위에 지적한 부분들을 생각하면 아무 준비없이 돈만 노리고 서비스 시작한거 같아서 실망이 이만저만이 아님…"
98,해리포터 보고싶다
99,"스타워즈 정주행 중인데, 끊었다가 나중에 보려고 하면 자꾸 처음부터 재생이 됩니다ㅠㅠ"
100,어플 500번정도 껐다 켰는데도 똑같아요 핸드폰 재부팅도 한 번 했어요 그거 외엔 컨텐츠도 많고 좋아요
101,영화나 다른 시리즈는 한글자막 지원하는데 왜 애니메이션만 한글자막 지원안해주나요?ㅠㅠ 청각장애 있는 입장으로서 불편합니다…
102,프로그램도 많고 좋은데 작은 화면에서 다음화로 못 넘기니까 다시 프로그램 들어가서 또 바꾸고 너무 번거로워요
103,다 좋지만 광고 시스템이 별로입니다. 마치 초창기 모습을 보는거 같습니다(광고가 2회 나오는 경우 등). 예전처럼 1개만 나오고 방영중인 프로그램을 한번 더 눌렀을 때 광고가 나오지 않게 해줬으면 좋겠습니다.
104,다 좋은데 접속하는 지역에 따라 나오는 컨텐츠가 다른건 저작권이나 계약들때문에 그렇다 치지만 영어권 국가에 있다고 한글 자막이 아예 안나오는건 좀 개선해야되지 않나요? 답변 좀 주세요~
105,Wave 말 그대로 파도 타듯이 다양한 영화를 즐길 수 있네요. 드라마 미나리 부터 액션 존윅까지 감동과 재미를 느낄 수 있는데요. 해외 OTT와 대응해 국산 OTT 파도처럼 저항해서 잠식 시키길 바랍니다!~
106,웨이브는 개인적으로 국내 제품 드라마가 많아서 좋은 것 같아요 시리즈물도 다양해서 전체적으로 시청 콘텐츠가 많은 것도 만족하고 보니까 영화구매 이벤트 관련해서도 진행하는게 많은 것 같아서 다음에는 꼭 참여해서 당첨되어봤으면 좋겠네요~!
107,한작품 한시즌의 자막을 대체 몇명이 번역한건지.... 그레이 아나토미같이 오랜시즌 이어온 드라마는 캐릭터끼리 관계성에 따라서 반말을 할수도 존대말을 할수도 있는건데 번역자가 작품을 전혀 안보고 번역했나봐요.. 여러명의 번역자 중에 단 한명도 캐릭터의 관계를 고려해서 번역한 분이 없네요 이정도로 준비가 안되어있는데 왜 시작했는지 모르겠어요 번역은 왓챠가 제일 구리다고 생각했었는데 정정합니다 디즈니 플러스가 제일 구려요 그리고 다음화로 바로 넘어가는 버튼도 좀 만들어주세요 디플에 한편짜리 영화만 있는게 아니잖아요?
108,아직 까진 예상대로 신규 컨텐츠가 부족하네요. 넷플 첫 출시때랑 느낌이 비슷해요. 마블 디즈니 기존 컨텐츠 제외하면 아직은 부족한것 같아 아쉽네요...
109,다른경재군에 비해 애니메이션 효과도 없고 뭔가 단조로움 후발주자인데 너무 신경을 안쓴듯
110,제가보고싶은 컨텐츠가 있어서 사용하고 있긴합니다만 화질이 아주오락가락 보는 내내 난리도아니고요. 집에서 티비로 보는데 중간에 로딩은 왜자꾸걸리는지 거슬려요. 그리고 자막을 막 맘대로 건너뛰어서 번역 안되고 영상혼자 떠드는 부분도 매우 많고 번역자체도 읭???하게 하는경우도많아요. 아주아주아주 많은 개선이 필요해보입니다
111,1월 31일 생일자인데 카드결제번호 입력후에 개인생일 입력시 1월 30일만 입력되고 31일 입력이 불가하네오ㅠ 수정해주세요
112,생각보다 볼거리가 풍부합니다!!! 다른어플에는 지상파 옛날영상찾기가 힘든데 웨이브에서는 지상파방송중 옛영상도 많고 이용권구매하면 웨이비영화관 영화들도 무료고 참 좋은것같아요!! 심지어!!!!!! 옛날영화만있는것도 아니고 요즘영화도있고 제가조아할법한 영화들만 있는것같아 매우즐겁게 시청하고있습니다!! 즐거움을 웨이브에서 찾은것같아 매우행복하네요^^
113,2016년부터 꾸준하게 이용 중인데요~ 드라마를 좋아하는 저로써는 항상 즐겁게 시청하고 있습니다 ㅋ 옛추억 드라마도 많아서 요즘은 옛드라마 보면서 그시절 제 추억도 같이 떠올라서 너무 너무 좋습니다~~ 특히 요즘은 최근 개봉영화도 빠르게 올라오고 있어서 더욱 좋아용♡♡ 더 다양한 영상으로 지속적인 즐거움을 주실꺼라 믿고 이용하겠습니다!!!! 수고하세요^^
114,너무 좋아요 방송프로그램도 바로바로 볼수 있고 시간 맞추어서 영상 볼필요 없어서 편하네요
115,콘텐츠가 너무 없는데... t플랜 요금제 변경해서 무료로 볼수 있다지만 볼게 없다는게 영.. 아니 왜 웹페이지에서 보는거랑 앱에서 보는 메뉴가 다르냐 =_=.. 웹에서 먼저보고 카테고리 빈약한거 보고 컨텐츠 전혀 없는줄
116,애기가있어서 타요나 뽀로로나 이런 프로그램들 시청하고있었는데 갑자기 없애놓고 없어졌다고 리뷰다니 리뷰도 삭제하나봅니다? jtbc나 이런프로그램도 기존에 다보고있었는데 없어졌는데 돈받고 이런식으로 하는거면 왜 돈을받나요? 푹때부터잘보고있었는데 요금은 더올려받으면서 이런식으로 하나씩 없애나요??
117,"마블팬이라 보긴하는데
자막수준이 너무 처참합니다. 엔드게임 오 어머니! 버금갈 정도의 수준.
그리고 배속 기능없음. 자막 폰트구림. 화질설정없음"
118,참다 참다 올립니다 버퍼링이 좀 심합니다 신작드라마는 안끊기고 괜찮은데 옛날 드라마는 계속 끊겨요 어떤건괜찮고 어떤건 끊기고. 결론: 기계 사양의 문제가 아니라 티빙내부의 문제이니 신속한 해결바랍니다
119,미국 n사에 비하면 아직 부족하나 그래도 장족의 발전임 컨텐츠질도 꽤 좋아졌고 UI 나 앱 안정성이나 호환성이나 많이 개선됨 이대로만 가줘도 계속 쓸거같음
120,컨텐츠가 너무 없음. 그냥 한달만 보는게 이득
121,해당 데이터가 없습니다. 인더넷에 안 됩니다 어제 드라마에서 안 나와세요
122,보고 싶었던 콘텐츠가 많아서 자주 이용하고 있습니다. 요즘에는 이렇게 된 이상 청와대로 간다 보는 재미로 계속 이용하게 되요.
123,아 응답하라시리즈 다시 계약해주셨음 좋겠어요ㅜㅜ 사골처럼 봤었는데ㅜㅜ 너무 아쉬워요ㅜㅜ
124,최신영화가 좀 많이 떳으면하네요. ㅋㅋ
125,솔직히 넷플보다 불편함 건너뛰기안만들어논거 여러잡다한 짬에서나오는 넷플보단 불편하지만 컨텐츠가 사기라서 둘다결제하고 봐야함
126,만족하며 사용중입니다
127,작품이야 너무좋아요 근데 어플이나 시스템이 너무 별롭니다. 자막 나오다말다하고 다른 어플은 기본인 다른앱사용 중 시청 안되고 Ux나 Ui모두 발전해야할 필요가 보입니다. 곧 나올 새 작품에 대한 홍보도 전혀없으니 계속 기대할 무언가도 없습니다. 제에에발 발전해죠잉
128,콘텐츠가 다양해서 웨이브앱 너무 좋습니다.
129,안녕하세요! 오리지널 콘텐츠도 볼 수 있고~ 무엇보다도 예전 드라마들을 볼 수 있어서 좋습니댜♡
130,콘텐츠 저장기능 사용하지말것. 저장기능 사용하면 바로 앱이 고장나버림. 저장된 콘텐츠 기능 사용할경우에 단순히 재생불가뿐만아니라 앱 자체가 일반적인 기능들도 전부 무한로딩에 앱자체가 뻗음. 노답앱임
131,"디플 한국서비스가 늦은거지 나온지는 꽤된거아닌가? 근데 왜케 편의성?이 부족함? 넷플처럼 보는영상에서 바로 다음화나 전껄로 가는것도 없고 시리즈 목록 보는것도 없고....= = 마블 좋아하고 심슨이나 픽사,디지니 애니도 좋아해서 1년짜리 구독했지만 참 미흡한 시스템....다른문제점은 유명하니 말안함"
132,앱 자잘한 오류좀 수정해주세요 글씨크기 조절이랑 화면 밝기조절도 좀 추가해주세요
133,"최고에요! 근데 마블에 제가 젤 조아하는 스파이더맨이 없어요. 그거만 추가해주시면 완전! 별10만개도 줄수있겠어요 오리지날 스파이더맨1,2,3 글구 어메이징 스파이더맨1,2 그리고 제가 젤조아하는 배우인 톰 홀랜드가 나오는 홈커밍 파 프로홈까지요! 그리고 그냥 말해주는건데 엔드게임에서 아이언 스파이더맨 나와서 생각 났어요. 그래서 찾아봤는데 없었어요ㅠㅠ 그래서 그점만 손봐주면 대박! 제 인생의 최고의 영화보는 어플이 될겄 같습니다! 디즈니 플러스 화이팅!"
134,컨텐츠 저장 하나만 하면 앱이 먹통이 됩니다. 자막도 엉성하고 갈길이 아주 멀어보이네요.
135,컨텐츠 디즈니빠라 너무 좋다 마블 너무 사랑해...근데 자막 수준좀.. 어떻게 안되요? tv에서는 자막이 갑자기 사라지고 난리나요 아 1년치 결제 했는데 후회되네
136,컨텐츠가 진짜 많아서 놀랐습니다!ㅎㅎ지금까지 가입했던 OTT중에 제일 많은 것 같아요ㅎㅎ보고있음 시간 순삭이네요~
137,전 예전에 했던 최진실님이 나오는드라마를 보고 싶었는데..드뎌 여기서 찾았네요..ㅎㅎ 보고싶었던 드라마 맘껏 볼수 있어서 감사해요.. 앞으로도 마니 부탁드려요~~~^^
138,웨이브 볼거리도 많고 좋아요!
139,서비스 연결지원?? 뭐 재생 안되는 컨텐츠가 이렇게 많아?? 이렇게 하고 구독료 받아 쳐먹냐?
140,실시간 방송보기 편해서 자주 이용하고 있습니다~^^
